n,cc,y,r,rat,f,d
Naver Financial Corp.,KOR,2019,variant,"Naver Financial leverages Naver Pay's dominant payments user base in South Korea to cross-sell loans, insurance, and other financial products within the Naver ecosystem.",fintech_lending__payments_superapp_lending,naverfincorp.com
Toss,KOR,2011,variant,"Toss began as a mobile P2P money-transfer/payments app in Korea, amassed a massive user base, then cross-sold personal loans, insurance, and investments within the same super-app—directly replicating the payments-to-lending flywheel.",fintech_lending__payments_superapp_lending,toss.im
PhonePe,IND,2015,variant,PhonePe is India's largest UPI-based mobile payments app that leverages its massive transaction user base and payment data to cross-sell personal loans and merchant credit products within the same ecosystem.,fintech_lending__payments_superapp_lending,phonepe.com
OPay,NGA,2018,variant,"OPay is a mobile-money/payments super-app dominant in Nigeria that started with wallet and payment services for underbanked users and has expanded into embedded credit and lending products leveraging its transaction data, replicating the Ant Group playbook in West Africa.",fintech_lending__payments_superapp_lending,opayweb.com
Sea,SGP,2009,variant,SeaMoney (ShopeePay e-wallet + SPayLater micro-lending) replicates the Ant Group playbook across Southeast Asia: massive payment/wallet user base from the Shopee ecosystem feeds transaction data into embedded consumer and merchant micro-credit products.,fintech_lending__payments_superapp_lending,sea.com
GoTo Group,IDN,2021,variant,"GoTo Group (Gojek-Tokopedia merger) operates GoPay, one of Indonesia's largest e-wallets, and cross-sells GoPay Later and merchant lending products within the same super-app ecosystem using payment and transaction data.",fintech_lending__payments_superapp_lending,gotocompany.com
PayPay,JPN,2018,variant,"PayPay is Japan's dominant QR-code mobile payment app (built with Ant Group/Paytm-derived technology) that has expanded into embedded credit via PayPay Later, using payment data for underwriting.",fintech_lending__payments_superapp_lending,paypay.ne.jp
"Ualá",ARG,2017,edge_case,"Ualá launched with a prepaid card and mobile wallet as its payments wedge in Argentina, built a large user base, then added personal micro-loans and other financial products within the app, fitting the payments-first lending cross-sell pattern though sometimes classed as a neobank.",fintech_lending__payments_superapp_lending,uala.com.ar
Akulaku Group,IDN,2016,edge_case,"Akulaku operates a digital finance super-app in Indonesia with virtual payment services, e-wallet, and consumer lending/BNPL within one ecosystem (and received Ant Group investment), though its primary acquisition wedge was installment lending rather than payments-first.",fintech_lending__payments_superapp_lending,akulaku.com
Careem,ARE,2012,edge_case,"Careem is explicitly building a Middle-East 'Everything App' with an integrated Careem Pay wallet and has added BNPL/credit features, though its original user-acquisition wedge was ride-hailing rather than pure payments.",fintech_lending__payments_superapp_lending,careem.com
Lydia,FRA,2013,edge_case,"Lydia launched as a mobile P2P payment/wallet app in France and subsequently cross-sells consumer credit products within the same app, adapting the payments-first-then-lending playbook to a European market.",fintech_lending__payments_superapp_lending,lydia-app.com
One97 Communications,IND,2000,variant,"Paytm (One97) is India's leading QR-code mobile payment wallet with expanded lending, insurance, and wealth management services.",fintech_payments__qr_mobile_wallet,one97.com
PhonePe,IND,2015,variant,PhonePe is a dominant UPI/QR-code mobile payment wallet in India with expanding financial services.,fintech_payments__qr_mobile_wallet,phonepe.com
DANA,IDN,2017,variant,"DANA is an Ant-Group-backed QR-code digital wallet in Indonesia offering cashless payments, bill pay, and merchant services.",fintech_payments__qr_mobile_wallet,dana.id
OVO,IDN,2017,variant,"OVO is a leading QR-code digital payment wallet in Indonesia with P2P, bill pay, and financial service integrations.",fintech_payments__qr_mobile_wallet,ovo.id
PayPay,JPN,2018,variant,"PayPay is Japan's largest QR-code mobile payment wallet, modeled directly on the Alipay playbook with SoftBank/Ant Group backing.",fintech_payments__qr_mobile_wallet,paypay.ne.jp
Momo,VNM,2007,variant,"MoMo is Vietnam's leading QR-code mobile wallet offering payments, transfers, bill pay, and expanding financial services.",fintech_payments__qr_mobile_wallet,momo.vn
Mynt,PHL,2015,variant,"Mynt operates GCash, the Philippines' dominant QR-code mobile wallet with lending, insurance, and investment services, backed by Ant Group.",fintech_payments__qr_mobile_wallet,mynt.xyz
stc pay,SAU,2018,variant,"stc pay is Saudi Arabia's largest digital wallet offering QR-code payments, transfers, and expanding financial services.",fintech_payments__qr_mobile_wallet,stcpay.com.sa
Maya,PHL,2013,variant,"Maya (formerly PayMaya) is a QR-code mobile wallet and digital bank in the Philippines with payments, lending, and investment features.",fintech_payments__qr_mobile_wallet,maya.ph
Ascend Money,THA,2015,variant,"Ascend Money operates TrueMoney, an Ant-Group-backed QR-code mobile wallet across Thailand and Southeast Asia with e-payments and micro-lending.",fintech_payments__qr_mobile_wallet,ascendmoneygroup.com
Satispay,ITA,2013,variant,"Satispay is an Italian QR-code mobile payment platform enabling merchant payments, P2P transfers, and bill payments via a consumer wallet app.",fintech_payments__qr_mobile_wallet,satispay.com
Toss,KOR,2011,variant,"Toss is South Korea's leading mobile financial super-app with QR-code payments, P2P transfers, and comprehensive financial services.",fintech_payments__qr_mobile_wallet,toss.im
MobiKwik,IND,2009,variant,"MobiKwik is an Indian mobile wallet offering QR-code payments, bill payments, and digital credit services to mass-market consumers.",fintech_payments__qr_mobile_wallet,mobikwik.com
Gojek,IDN,2010,variant,"GoPay, Gojek's payment arm, is a major QR-code mobile wallet in Indonesia embedded in a super-app with expanding financial services.",fintech_payments__qr_mobile_wallet,gojek.com
Sea,SGP,2009,edge_case,"SeaMoney/ShopeePay is a QR-code mobile wallet within Sea's e-commerce super-app across Southeast Asia, offering payments and financial services.",fintech_payments__qr_mobile_wallet,sea.com
Naver Financial Corp.,KOR,2019,variant,"Naver Financial operates Naver Pay, a QR-code mobile payment service in South Korea expanding into loans, insurance, and investments.",fintech_payments__qr_mobile_wallet,naverfincorp.com
OPay,NGA,2018,edge_case,"OPay is a mobile wallet in Nigeria offering QR-code payments, transfers, bill pay, and expanding financial services for mass-market consumers.",fintech_payments__qr_mobile_wallet,opayweb.com
GoTo Group,IDN,2021,edge_case,"GoTo Group operates GoPay, one of Indonesia's leading QR-code mobile wallets, within its on-demand and e-commerce super-app ecosystem.",fintech_payments__qr_mobile_wallet,gotocompany.com
Uzum,UZB,2022,edge_case,Uzum operates a digital payment wallet in Uzbekistan within a broader ecosystem of e-commerce and business services.,fintech_payments__qr_mobile_wallet,uzum.com
NIO,CHN,2014,variant,"NIO is a premium DTC EV brand in China with branded stores, battery-swap infrastructure, OTA updates, and aspirational tech positioning.",cleantech__premium_dtc_ev,nio.com
Xpeng Motors,CHN,2014,variant,"Xpeng is a Chinese DTC smart EV startup with software-defined features, OTA updates, and branded retail stores.",cleantech__premium_dtc_ev,xiaopeng.com
Zeekr,CHN,2021,variant,"Zeekr is a premium DTC electric vehicle brand from Geely operating with branded stores, software-defined features, and OTA updates.",cleantech__premium_dtc_ev,zeekrlife.com
Polestar,SWE,1996,variant,"Polestar is a purpose-built premium electric performance brand selling DTC through branded retail spaces, despite Geely/Volvo parentage.",cleantech__premium_dtc_ev,polestar.com
Li Auto,CHN,2015,variant,"Li Auto is a Chinese premium DTC EV brand with branded retail stores, connected software features, and OTA updates, though using range-extender technology.",cleantech__premium_dtc_ev,lixiang.com
Leapmotor,CHN,2015,variant,"Leapmotor is a Chinese DTC EV startup with in-house developed intelligent driving systems, branded stores, and technology-differentiated positioning.",cleantech__premium_dtc_ev,leapmotor.com
Avatr,CHN,2018,variant,"Avatr is a premium EV brand with DTC branded retail, Huawei-powered intelligent driving, and software-defined vehicle architecture.",cleantech__premium_dtc_ev,avatr.com
Zhiji Auto,CHN,2020,variant,Zhiji Auto (IM Motors) is a premium DTC smart EV brand backed by SAIC and Alibaba with software-defined features and branded stores.,cleantech__premium_dtc_ev,immotors.com
AIWAYS,CHN,2017,variant,AIWAYS is a Shanghai-based smart EV startup manufacturing and selling electric vehicles with an emphasis on connected intelligence.,cleantech__premium_dtc_ev,ai-ways.com
BYTON,CHN,2016,edge_case,"BYTON designed premium connected smart EVs with a DTC model and software-defined experience, positioning itself as a digital device on wheels.",cleantech__premium_dtc_ev,byton.com
WM Motor,CHN,2015,edge_case,WM Motor is a Chinese EV startup that designs and manufactures battery-electric vehicles sold through branded retail stores with connected features.,cleantech__premium_dtc_ev,wm-motor.com
Voyah,CHN,2019,edge_case,Voyah is a premium DTC electric vehicle brand from Dongfeng with branded retail stores and technology-differentiated positioning.,cleantech__premium_dtc_ev,voyah.com.cn
Singulato Motors,CHN,2014,variant,Singulato Motors is a Chinese EV startup developing new energy vehicles with smart car systems and DTC sales approach.,cleantech__premium_dtc_ev,singulato.com
Youxia Motors,CHN,2014,variant,Youxia Motors is a Chinese startup that designs and manufactures electric vehicles with a technology-forward DTC approach.,cleantech__premium_dtc_ev,youxiamotors.com
Hozon,CHN,2014,edge_case,Hozon (Neta brand) is a Chinese EV startup selling intelligent electric vehicles DTC through branded retail channels.,cleantech__premium_dtc_ev,hozonauto.com
NIUTRON,CHN,2021,edge_case,"NIUTRON is a high-end new energy vehicle brand with DTC ambitions, though it has limited production traction.",cleantech__premium_dtc_ev,niutron.com
Bordrin Motors,CHN,2016,edge_case,"Bordrin Motors is a Chinese smart EV startup developing intelligent electric vehicles, though it faced financial difficulties limiting market presence.",cleantech__premium_dtc_ev,bordrin.com
ENOVATE Motors,CHN,2015,edge_case,"ENOVATE Motors is a Chinese EV startup in the premium segment, though limited information and market traction create uncertainty.",cleantech__premium_dtc_ev,enovatemotors.com
ROX Motor,CHN,2021,edge_case,"ROX Motor is a Chinese new energy vehicle startup focused on off-road EVs, fitting the startup DTC model but in a niche segment.",cleantech__premium_dtc_ev,roxmotor.com
GAC Aion New Energy Automobile,CHN,2017,edge_case,"GAC Aion is a spun-off EV entity with branded stores and tech-differentiated positioning, but originates from legacy OEM GAC Group.",cleantech__premium_dtc_ev,gacne.com.cn
MercadoLibre,ARG,1999,variant,"Latin America's dominant C2C marketplace replicating the eBay model with auction and fixed-price listings, transaction commissions, and an asset-light two-sided platform for individual sellers and SMBs.",ecommerce_horizontal__c2c_marketplace,mercadolibre.com
Tokopedia,IDN,2009,variant,Indonesia's leading C2C marketplace connecting individual and small-merchant sellers with consumers on an asset-light platform with no owned inventory.,ecommerce_horizontal__c2c_marketplace,tokopedia.com
Mercari,JPN,2013,variant,"Japan's dominant C2C marketplace app for buying and selling secondhand and new items, replicating eBay's two-sided model with commission-based monetization.",ecommerce_horizontal__c2c_marketplace,mercari.com
Zhuanzhuan,CHN,2015,variant,"China's major secondhand C2C marketplace where users buy and sell used goods, directly replicating the eBay-like peer-to-peer mechanism.",ecommerce_horizontal__c2c_marketplace,zhuanzhuan.com
Avito,RUS,2007,variant,"Avito is Russia's dominant C2C classifieds and marketplace platform where individual users list and sell used goods across horizontal categories, monetizing via promoted listings and transaction fees without holding inventory.",ecommerce_horizontal__c2c_marketplace,avito.ru
Carousell Group,SGP,2012,variant,"Carousell Group is a horizontal C2C classifieds/marketplace platform in Southeast Asia where individuals list and sell items (especially preloved goods) with no platform-held inventory, monetizing via promoted listings and transaction fees.",ecommerce_horizontal__c2c_marketplace,carousell.com
Wallapop,ESP,2013,variant,"Hyper-local horizontal C2C marketplace for buying and selling secondhand goods, asset-light with no inventory, monetized via promoted listings and transaction fees — a clear geographic variant of the eBay playbook in Spain.",ecommerce_horizontal__c2c_marketplace,wallapop.com
Karrot Market,KOR,2015,variant,"Karrot (formerly Danggeun Market) is a hyperlocal C2C secondhand goods marketplace in Korea connecting individual sellers and buyers without holding inventory, monetizing via optional promoted listings and transaction fees.",ecommerce_horizontal__c2c_marketplace,karrotmarket.com
letgo,TUR,2015,variant,"letgo is a horizontal C2C marketplace for buying and selling used goods locally, matching the asset-light two-sided marketplace mechanism with no inventory holding, monetized via promoted listings and transaction services.",ecommerce_horizontal__c2c_marketplace,letgo.com
Vinted,GBR,2008,variant,"C2C online marketplace for secondhand clothing where sellers list items, the platform holds no inventory, and monetizes via transaction fees and promoted listings — directly replicating the eBay-like two-sided mechanism.",ecommerce_horizontal__c2c_marketplace,vinted.com
ShopClues,IND,2011,variant,"Indian horizontal marketplace connecting buyers and sellers in a managed environment, focused on value-segment goods with an asset-light, commission-based model.",ecommerce_horizontal__c2c_marketplace,shopclues.com
Quikr,IND,2008,variant,"Horizontal C2C classifieds and online marketplace in India where individuals and small merchants buy, sell, and rent across many categories — a direct geographic replication of the eBay-like asset-light two-sided marketplace.",ecommerce_horizontal__c2c_marketplace,quikr.com
Snapdeal,IND,2005,variant,"India's leading value e-commerce marketplace connecting sellers with price-conscious buyers without holding inventory, closely replicating the eBay horizontal marketplace model.",ecommerce_horizontal__c2c_marketplace,snapdeal.com
Dubizzle Group,ARE,2015,variant,"Operates horizontal classifieds portals in emerging markets, connecting individual sellers with buyers across multiple categories without holding inventory — a direct geographic variant of the C2C marketplace playbook.",ecommerce_horizontal__c2c_marketplace,dubizzlegroup.com
Vestiaire Collective,FRA,2009,edge_case,Online C2C/C2B2C marketplace for pre-owned luxury fashion where sellers list and buyers purchase through platform trust mechanisms; fits the secondhand marketplace variant though narrower in category scope than a fully horizontal platform.,ecommerce_horizontal__c2c_marketplace,vestiairecollective.com
Alibaba Group,CHN,1999,edge_case,"Parent company of Taobao, the world's largest C2C marketplace, though the group entity encompasses B2B, cloud, logistics, and other businesses well beyond the pure marketplace model.",ecommerce_horizontal__c2c_marketplace,alibabagroup.com
Chrono24,DEU,2003,edge_case,"Chrono24 connects individual and small-merchant watch sellers with buyers on a platform holding no inventory, using the same two-sided marketplace mechanism with trust/authentication features, though it is vertical (luxury watches) rather than horizontal.",ecommerce_horizontal__c2c_marketplace,chrono24.com
Droom,IND,2014,edge_case,"Asset-light online marketplace for new and used automobiles connecting individual sellers and small dealers with buyers, replicating the two-sided marketplace mechanism but in a single vertical rather than horizontal.",ecommerce_horizontal__c2c_marketplace,droom.in
Coupang,KOR,2010,variant,"South Korea's Amazon analogue with massive proprietary logistics network powering Rocket Delivery (same-day/next-day), broad horizontal catalog, and a Rocket WOW membership program.",ecommerce_horizontal__fullstack_marketplace_logistics,coupang.com
Flipkart,IND,2007,variant,"India's leading horizontal e-commerce platform with owned Ekart logistics for warehousing and last-mile delivery, 1P+3P marketplace, and Flipkart Plus loyalty program.",ecommerce_horizontal__fullstack_marketplace_logistics,flipkart.com
JD.com,CHN,1998,variant,"China's premier full-stack e-commerce retailer with one of the world's largest proprietary logistics networks including warehouses, sortation centers, and last-mile delivery fleet.",ecommerce_horizontal__fullstack_marketplace_logistics,jd.com
Jumia Group,NGA,2012,variant,Pan-African horizontal e-commerce marketplace with proprietary Jumia Logistics providing warehousing and last-mile delivery across multiple African countries.,ecommerce_horizontal__fullstack_marketplace_logistics,jumia.com
Lazada Group,SGP,2012,variant,Southeast Asia's full-stack e-commerce platform (Alibaba-backed) with owned logistics infrastructure including warehouses and last-mile delivery across six SEA markets.,ecommerce_horizontal__fullstack_marketplace_logistics,lazada.com
Trendyol Group,TUR,2009,variant,"Turkey's dominant e-commerce platform with Trendyol Express owned logistics network, broad horizontal catalog, and integrated fulfillment centers.",ecommerce_horizontal__fullstack_marketplace_logistics,trendyol.com
MercadoLibre,ARG,1999,variant,"Latin America's dominant e-commerce marketplace with Mercado Envíos owned/controlled logistics including fulfillment centers and last-mile delivery, plus broad horizontal catalog.",ecommerce_horizontal__fullstack_marketplace_logistics,mercadolibre.com
Souq,ARE,2005,variant,Middle East's leading e-commerce marketplace (acquired by Amazon) with owned fulfillment centers and Q-Express delivery network covering UAE and the broader region.,ecommerce_horizontal__fullstack_marketplace_logistics,souq.com
JD.ID,IDN,2015,variant,JD.com's Indonesian replication deploying the same full-stack 1P retail model with owned warehousing and delivery infrastructure adapted for the Indonesian market.,ecommerce_horizontal__fullstack_marketplace_logistics,jd.id
Sea,SGP,2009,variant,"Operator of Shopee, Southeast Asia's largest e-commerce marketplace, which has built proprietary Shopee Express (SPX) logistics for fulfillment and last-mile delivery across multiple countries.",ecommerce_horizontal__fullstack_marketplace_logistics,sea.com
Alibaba Group,CHN,1999,edge_case,"Operates China's largest consumer e-commerce platforms (Taobao, Tmall) with integrated Cainiao logistics network providing warehousing and delivery coordination, though more platform-orchestrated than fully owned.",ecommerce_horizontal__fullstack_marketplace_logistics,alibabagroup.com
GoTo Group,IDN,2021,edge_case,"GoTo Group combines Tokopedia's horizontal e-commerce marketplace with Gojek's on-demand logistics network, creating an integrated commerce-plus-delivery ecosystem in Indonesia.",ecommerce_horizontal__fullstack_marketplace_logistics,gotocompany.com
Zalando,DEU,2008,edge_case,"Zalando combines 1P retail with a large 3P partner marketplace and operates its own fulfillment centers (ZFS) across Europe, mirroring the full-stack logistics playbook, though its catalog still skews heavily toward fashion rather than full horizontal breadth.",ecommerce_horizontal__fullstack_marketplace_logistics,zalando.com
Tokopedia,IDN,2009,edge_case,"Indonesia's major horizontal marketplace with TokoCabang fulfillment services and, post-GoTo merger, access to integrated logistics, though historically more asset-light than the anchor model.",ecommerce_horizontal__fullstack_marketplace_logistics,tokopedia.com
99,BRA,2012,variant,99 is a known Uber-for-Brazil ride-hailing marketplace connecting riders with driver-partners via its mobile app.,ride_hailing__marketplace,99app.com
Bolt,EST,2013,variant,"Bolt replicates the Uber ride-hailing marketplace model across Europe and Africa, matching riders with independent drivers via app.",ride_hailing__marketplace,bolt.eu
Cabify,ESP,2011,variant,"Cabify is a ride-hailing marketplace operating in Spain and Latin America, connecting riders with driver-partners through its app.",ride_hailing__marketplace,cabify.com
Careem,ARE,2012,variant,Careem is the Uber-for-Middle-East ride-hailing marketplace (later acquired by Uber) that expanded into a super-app with ride-hailing as its founding wedge.,ride_hailing__marketplace,careem.com
Didi,CHN,2012,variant,"Didi is China's dominant ride-hailing marketplace connecting riders with independent driver-partners, directly replicating the Uber model at massive scale.",ride_hailing__marketplace,didiglobal.com
Gojek,IDN,2010,variant,"Gojek launched as a motorcycle ride-hailing marketplace in Indonesia and expanded into a super-app, with ride-hailing as its founding wedge.",ride_hailing__marketplace,gojek.com
Grab,SGP,2012,variant,Grab is the dominant Uber-for-Southeast-Asia ride-hailing marketplace that expanded into a super-app with ride-hailing as the original wedge.,ride_hailing__marketplace,grab.com
Ola,IND,2010,variant,"Ola is India's leading ride-hailing marketplace connecting riders with independent driver-partners via its mobile app, a clear Uber-for-India.",ride_hailing__marketplace,olacabs.com
Gett,GBR,2010,variant,"Gett operates a ride-hailing marketplace in the UK and Israel, matching riders with drivers (including black cab drivers) via its app with commission-based revenue.",ride_hailing__marketplace,gett.com
Rapido,IND,2015,variant,"Rapido operates a bike-taxi and auto-rickshaw ride-hailing marketplace in India, matching riders with independent driver-partners via app (motorcycle/auto variant in scope).",ride_hailing__marketplace,rapido.bike
Kakao Mobility,KOR,2017,variant,"Kakao Mobility runs a taxi-hailing marketplace in South Korea, matching riders with taxi drivers through its app with marketplace dynamics.",ride_hailing__marketplace,kakaomobility.com
Yandex,RUS,1997,edge_case,"Yandex operates Yandex Go (formerly Yandex.Taxi), a major ride-hailing marketplace in Russia/CIS, though Yandex itself is primarily a tech/search conglomerate.",ride_hailing__marketplace,yandex.com
Yidao Yongche,CHN,2010,edge_case,"Yidao Yongche was an early Chinese ride-hailing platform connecting riders with drivers via app, though its description as 'professional car reservation services' suggests partial fleet elements.",ride_hailing__marketplace,yongche.biz
Lending Club,USA,2007,variant,"Lending Club is the defining US replication of Zopa's P2P marketplace, connecting borrowers with individual and institutional investors via an online platform.",fintech_lending__p2p_marketplace,lendingclub.com
Prosper Marketplace,USA,2005,variant,"Prosper Marketplace is a direct US competitor to Lending Club, operating the same two-sided P2P marketplace matching borrowers with investor-lenders.",fintech_lending__p2p_marketplace,prosper.com
Lufax,CHN,2011,variant,"Lufax is China's largest P2P/marketplace lending platform, matching borrowers with individual and institutional investors in a direct replication of the Zopa model.",fintech_lending__p2p_marketplace,lu.com
Dianrong,CHN,2013,variant,"Dianrong is a Chinese online marketplace lending platform explicitly designed to connect borrowers with investors, co-founded by a Lending Club co-founder.",fintech_lending__p2p_marketplace,dianrong.com
Tuandaiwang,CHN,2012,variant,Tuandaiwang is a Chinese peer-to-peer lending platform that matches borrowers with individual investor-lenders via its online marketplace.,fintech_lending__p2p_marketplace,tuandai.com
Weidai,CHN,2011,variant,"Weidai is explicitly described as a China-based P2P lending platform, directly matching borrowers with individual and institutional investors.",fintech_lending__p2p_marketplace,weidai.com.cn
Plenti,AUS,2014,variant,"Plenti (formerly RateSetter Australia) is an Australian P2P lending platform matching borrowers with investor-lenders, replicating the Zopa model for Australia.",fintech_lending__p2p_marketplace,plenti.com.au
9F Group,CHN,2006,edge_case,9F Group operated a Chinese P2P lending marketplace connecting borrowers with individual and institutional investors as a core part of its digital financial platform.,fintech_lending__p2p_marketplace,9fgroup.com
SoFi,USA,2011,edge_case,"SoFi originated as a P2P marketplace matching student borrowers with alumni investors but has since evolved into a full-service digital bank, moving beyond the pure marketplace model.",fintech_lending__p2p_marketplace,sofi.com
Biren Technology,CHN,2019,variant,Chinese AI chip startup designing GPU and DSA-architecture intelligent processors as a domestic alternative amid US export controls.,ai_ml_platform__ai_accelerator_chip,birentech.com
Moore Threads,CHN,2020,variant,Chinese GPU designer providing graphics processing technology and services to corporate clients as a domestic NVIDIA alternative.,ai_ml_platform__ai_accelerator_chip,mthreads.com
Cambricon Technologies,CHN,2016,variant,"Chinese AI chip company building core processor chips for intelligent cloud servers, terminals, and robots with its own software stack.",ai_ml_platform__ai_accelerator_chip,cambricon.com
Rebellions,KOR,2020,variant,South Korean AI accelerator chip designer developing inference-optimized silicon and data center systems for large-scale AI workloads.,ai_ml_platform__ai_accelerator_chip,rebellions.ai
Graphcore,GBR,2016,variant,"UK-based company designing the Intelligence Processing Unit (IPU), a novel AI accelerator architecture with its own Poplar software stack.",ai_ml_platform__ai_accelerator_chip,graphcore.ai
Hailo,ISR,2017,variant,"Israeli company designing dedicated AI processors optimized for edge inference, replicating the AI chip model for edge deployment.",ai_ml_platform__ai_accelerator_chip,hailo.ai
Horizon Robotics,CHN,2015,variant,"Horizon Robotics designs its own AI inference processors (BPU series) with an integrated software stack, targeting edge AI for autonomous driving — a clear AI accelerator chip designer in the automotive/edge domain.",ai_ml_platform__ai_accelerator_chip,horizon.cc
Black Sesame Technologies,CHN,2016,variant,Chinese company designing AI accelerator chips targeting autonomous driving and edge AI inference applications.,ai_ml_platform__ai_accelerator_chip,bst.ai
NextSilicon,ISR,2017,edge_case,"Israeli company designing novel HPC compute architectures that overlap with AI workloads, though not exclusively focused on AI acceleration.",ai_ml_platform__ai_accelerator_chip,nextsilicon.com
Despegar,ARG,1999,variant,"Despegar is the leading Latin American OTA offering flights, hotels, and packages to consumers—a clear Expedia-for-LatAm clone.",travel_hospitality__full_service_ota,despegar.com.ar
MakeMyTrip.com,IND,2000,variant,"MakeMyTrip is India's leading full-service OTA providing flights, hotels, holiday packages, and bus bookings from multiple suppliers.",travel_hospitality__full_service_ota,makemytrip.com
Trip.com,SGP,1999,variant,"Trip.com (Ctrip international brand) is a major full-service OTA offering flights, hotels, and packaged tours across Asia and globally.",travel_hospitality__full_service_ota,trip.com
Despegar USA,,1999,variant,"Despegar USA is the same Latin American full-service OTA brand enabling consumers to search and book flights, hotels, and travel packages.",travel_hospitality__full_service_ota,despegar.com
Yatra,IND,2006,variant,"Yatra is a major Indian OTA enabling consumers to search and book flights, hotels, and holiday packages from multiple suppliers.",travel_hospitality__full_service_ota,yatra.com
LY.com,CHN,2004,variant,"LY.com is a Chinese full-service OTA enabling consumers to book flights, hotels, and travel tickets from multiple suppliers.",travel_hospitality__full_service_ota,ly.com
Tuniu,CHN,2006,variant,Tuniu is a Chinese consumer OTA specializing in packaged tours and travel products with flight and hotel booking capabilities.,travel_hospitality__full_service_ota,tuniu.com
Hopper,CAN,2007,variant,"Hopper is a mobile-first OTA using predictive analytics to help consumers book flights, hotels, and car rentals directly on-platform.",travel_hospitality__full_service_ota,hopper.com
ixigo,IND,2006,edge_case,"ixigo has evolved from metasearch into a full-service Indian OTA enabling direct booking of flights, trains, buses, and hotels.",travel_hospitality__full_service_ota,ixigo.com
Yanolja,KOR,2005,edge_case,"Yanolja is Korea's leading accommodation/leisure booking platform with expanding travel services, though it is more accommodation-centric than a full-service OTA.",travel_hospitality__full_service_ota,yanolja.in
Lvmama,CHN,2008,edge_case,"Lvmama is a Chinese B2C tourism platform offering scenic tickets, hotel booking, and packaged tours, though its flight inventory is limited compared to full-service OTAs.",travel_hospitality__full_service_ota,lvmama.com
Mistral AI,FRA,2023,variant,"French geo variant training frontier open-weight and proprietary LLMs with API and enterprise offerings, benefiting from EU data-sovereignty positioning.",ai_ml_platform__foundation_model_api,mistral.ai
Cohere,CAN,2019,variant,Canadian geo variant training Command R family of enterprise LLMs with developer API and enterprise platform.,ai_ml_platform__foundation_model_api,cohere.com
AI21 Labs,ISR,2017,variant,Israeli geo variant training Jamba foundation models and commercializing via API and enterprise products.,ai_ml_platform__foundation_model_api,ai21.com
01.AI,CHN,2023,variant,Chinese geo variant training Yi series LLMs for the Chinese market with API and consumer products.,ai_ml_platform__foundation_model_api,01.ai
Z.ai,CHN,2019,variant,Chinese geo variant training GLM foundation models with consumer chat (ChatGLM) and developer API offerings.,ai_ml_platform__foundation_model_api,zhipuai.cn
Moonshot AI,CHN,2023,variant,Chinese geo variant training frontier LLMs and offering Kimi consumer chat product with long-context capabilities.,ai_ml_platform__foundation_model_api,moonshot.ai
MiniMax,SGP,2021,variant,"Chinese-origin company training multimodal foundation models (text, audio, video) with consumer products (Hailuo) and developer APIs.",ai_ml_platform__foundation_model_api,minimaxi.com
