anchor	short_label	count	family_id
Tide	SMB Neobank	2	fintech_neobanking__smb_neobank
YY/JOYY	Social Live Streaming	2	media_entertainment__social_live_streaming
Tinder	Swipe Dating App	2	social_community__swipe_dating
Slack	Team Collaboration Platform	2	enterprise_saas_horizontal__team_collaboration_platform
Amwell	Telemedicine Platform	2	healthtech__telemedicine_virtual_consultation
Tripadvisor	Travel UGC & Reviews	2	travel_hospitality__travel_ugc_reviews
Squarespace	Website Builder SaaS	2	enterprise_saas_horizontal__website_builder_saas
Harvey	AI Legal Assistant	1	ai_ml_vertical__ai_legal_assistant
Upstart	AI Lending Decisioning	1	ai_ml_vertical__ai_lending_decisioning
Beyond Meat	Alternative Protein CPG	1	agritech_foodtech__alternative_protein_cpg
Lexin	App-First Installment Credit	1	bnpl_consumer_credit__app_first_installment_credit
StockX	Authenticated Sneaker Marketplace	1	ecom_vertical__authenticated_sneaker_marketplace
Kabbage	Automated SMB Lending	1	fintech_lending__automated_smb_lending
Velodyne/Luminar	Automotive LiDAR Sensor	1	av_robotics__automotive_lidar_sensor
Xencor	Biologics Tech Platform	1	healthtech_biotech__biologics_technology_platform
DriveWealth	Brokerage-as-a-Service API	1	fintech_infra__brokerage_infrastructure_api
Snapchat	Camera + AR Filter Social	1	social_community__camera_filter_social
Marqeta	Card Issuing Infrastructure	1	fintech_infra__card_issuing_infrastructure
Honest Company	Clean-Label Baby / Personal Care	1	dtc_retail__clean_label_baby_personal_care
iCIMS	Cloud ATS / Recruiting	1	hr_workforce__cloud_ats_recruiting
Anaplan	Cloud Business Planning	1	enterprise_saas_horizontal__cloud_business_planning
Snowflake	Cloud Data Warehouse	1	cloud_infra__cloud_data_warehouse
Asana	Cloud Work Management	1	enterprise_saas_horizontal__cloud_work_management
Vonage	CPaaS / Cloud Comms	1	telecom__cpaas_cloud_comms
Airwallex	Cross-Border B2B Payments	1	fintech_infra__cross_border_b2b_payments
FanDuel	Daily Fantasy Sports	1	gaming__daily_fantasy_sports
Convoy	Digital Trucking Marketplace	1	logistics_supply_chain__digital_trucking_marketplace
Illumina	DNA Sequencing Platform	1	healthtech_biotech__sequencing_instruments_platform
Glossier	DTC Beauty Brand	1	dtc_retail__digital_native_dtc_beauty
Clearco	E-Commerce Revenue Financing	1	fintech_lending__ecommerce_revenue_financing
Shippo	E-Commerce Shipping Aggregator	1	logistics_supply_chain__ecommerce_shipping_aggregator
Shopify	E-Commerce Storefront SaaS	1	ecommerce_horizontal__storefront_saas
Culture Amp	Employee Engagement & Perf	1	hr_workforce__employee_engagement_performance
Workhuman	Employee Recognition & Rewards	1	hr_workforce__employee_recognition_rewards
DataRobot	Enterprise ML Platform	1	ai_ml_platform__enterprise_ml_platform
Vipshop	Flash-Sale Branded Discount	1	ecommerce_horizontal__flash_sale_branded_discount
Runway	Generative Visual AI	1	ai_ml_platform__generative_visual_model
CoreWeave	GPU Cloud for AI	1	ai_ml_platform__gpu_cloud_iaas
Trulioo	Identity Verification API	1	fintech_infra__identity_verification_api
Faire	Indie Retail Wholesale	1	b2b_marketplace__indie_retail_wholesale
Clio	Legal Practice Mgmt SaaS	1	enterprise_saas_vertical__legal_practice_mgmt
HelloFresh	Meal Kit Subscription	1	agritech_foodtech__meal_kit_subscription
Moglix	MRO / Industrial Supplies	1	b2b_marketplace__mro_supplies
Crown Castle	Neutral Shared Infra / TowerCo	1	telecom__neutral_shared_infra
Tines	No-Code Security Automation	1	cybersecurity__nocode_security_workflow_automation
Datadog	Observability & Monitoring	1	cloud_infra__observability_monitoring
JUUL	Pod-Based Vaping Device	1	dtc_retail__pod_based_vaping
Quora	Q&A Knowledge Community	1	social_community__qa_knowledge
Sunrun	Residential Solar Leasing	1	cleantech__residential_solar_leasing
Toast	Restaurant Cloud POS	1	enterprise_saas_vertical__restaurant_cloud_pos
Blue Prism	RPA Platform	1	enterprise_saas_horizontal__rpa_platform
Planet	Smallsat Earth Observation	1	space_aerospace__smallsat_earth_observation
Compass	Tech Real Estate Brokerage	1	proptech__tech_brokerage
OakNorth	Tech SME Lending Bank	1	fintech_neobanking__tech_sme_lending_bank
Oscar Health	Tech-First Health Insurer	1	insurtech__tech_first_health_insurer
GetYourGuide	Tours & Activities Marketplace	1	travel_hospitality__tours_activities_marketplace
Skyscanner	Travel Metasearch	1	travel_hospitality__travel_metasearch
YouTube	UGC Video Platform	1	media_entertainment__ugc_video_platform
Coursera	University Online Education	1	edtech__university_partnered_online_education
Instagram	Visual Lifestyle Feed	1	social_community__visual_lifestyle_feed
Zapier	Workflow Automation	1	enterprise_saas_horizontal__workflow_automation_platform
